currency_code,to_USD
EUR,1.092625
GBP,1.27106
INR,0.01190983
SEK,0.0958942
TRY,0.029755
CAD,0.727175
SGD,0.7537442
CHF,1.165529
RUB,0.01166159
ILS,0.2635391
USD,1
BRL,0.1767659
BGN,0.55844894
AED,0.2722555
PLN,0.253215
UZS,0.0000795533
HUF,0.00274374
PKR,0.003595508
ZMW,0.03857344
NGN,0.00062737225
ALL,0.01091795
BDT,0.008529224
IRR,0.000023757201
RON,0.2195633
HRK,0.14244
GEL,0.3697173
DKK,0.146406
AMD,0.002596916
LBP,0.0000111889
BHD,2.65331
EGP,0.02030621
AUD,0.656035
CLP,0.00106
IDR,0.0000623846
RSD,0.0093357606
KRW,0.0007277177
HKD,0.12826194
NPR,0.007460566
UAH,0.02443255
JPY,0.006800431
TZS,0.0003711856
PEN,0.2691311
BOB,0.1450962
CZK,0.043215
ZAR,0.05450991
ARS,0.001068908
NOK,0.0924545
VND,0.0000397456
MYR,0.2227916
MGA,0.0002206027
KES,0.0077220077
LKR,0.003316369
TND,0.32435234
BYN,0.3061646
COP,0.0002411144
MKD,0.01775081
BWP,0.07365353
DZD,0.007423058
BAM,0.5588524
CNY,0.1392506
MXN,0.051962
MAD,0.1019278
JOD,1.410853
DOP,0.01684866
THB,0.02801357
ETB,0.0124489
XOF,0.00166623
PYG,0.0001323542
ISK,0.0072406053
HTG,0.007593565
TWD,0.03064571
GTQ,0.1293721
XAF,0.00166623
KZT,0.002095154
LYD,0.2087492
CUP,0.04174891
SYP,0.00008
PHP,0.01736971
XCD,0.3700209
LAK,0.0000452405
YER,0.003994427
TOP,0.4203
IQD,0.0007651903
CRC,0.001896011
MRU,0.025295431
AZN,0.58823529
SAR,0.26636627
AOA,0.0011344299
SDG,0.0016625103
GYD,0.004799142
XPF,0.0091646428
NZD,0.6018
UYU,0.024605
HNL,0.04048544
NIO,0.02722602
MZN,0.01565222
TTD,0.14772063
GHS,0.06451611
BBD,0.4964988
FJD,0.4452005
VES,0.02730861
UGX,0.0002690375
KWD,3.269714
GMD,0.014388489
LSL,0.05408519
MMK,0.0003078977
KGS,0.011822441
AFN,0.01411741
MUR,0.02153851
SZL,0.05410177
RWF,0.0007550544
MDL,0.05661
TMT,0.28624
KYD,1.202843
KHR,0.000243978
IMP,1.270167
QAR,0.27391361
BZD,0.4973351
ANG,0.5562983
MNT,0.00030
TJS,0.09493771
OMR,2.597691
BIF,0.0003476817
JMD,0.006390506
NAD,0.05408519
GNF,0.0001162577
non,0.65
CDF,0.0003522092
PGK,0.2548602
LRD,0.0049973264
MVR,0.06489908
GIP,1.27550
BSD,1.002031
AWG,0.5555727
DJF,0.005629662
SHP,
MWK,0.0005778376
BTN,0.01193664
SRD,0.034825004
VUV,
CVE,0.009912212
BMD,1
GGP,1.2685541907
KPW,0.001111
XDR,
ERN,
SCR,0.07375319
BND,0.7551361
SLL,0.0000508165
SOS,0.001760496
SBD,0.1175
JEP,1.28050
MOP,0.1248938
FKP,
KMF,0.002218527
SSP,0.007677